,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol
1,Ford Figo,Ford,2012,175000,41000,Diesel
2,Hyundai Eon,Hyundai,2013,190000,25000,Petrol
3,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol
4,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol
5,Maruti Suzuki Alto,Maruti,2014,160000,35550,Petrol
6,Maruti Suzuki Alto,Maruti,2015,75000,39000,Petrol
7,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol
8,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol
9,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol
10,Maruti Suzuki Alto,Maruti,2017,190000,72000,Petrol
11,Maruti Suzuki Alto,Maruti,2008,95000,70000,Petrol
12,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel
13,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol
14,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
15,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
16,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel
17,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol
18,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
19,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
20,Honda City ZX,Honda,2017,170000,15000,Diesel
21,Maruti Suzuki Wagon,Maruti,2013,85000,29685,Petrol
22,Ford Figo,Ford,2012,175000,41000,Diesel
23,Hyundai Eon,Hyundai,2013,190000,25000,Petrol
24,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol
25,Chevrolet Spark LS,Chevrolet,2010,110000,41000,Petrol
26,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel
27,Hyundai i20 Magna,Hyundai,2009,195000,32000,Petrol
28,Hyundai Verna Transform,Hyundai,2008,160000,45000,Petrol
29,Honda City 1.5,Honda,2005,90000,50000,Petrol
30,Skoda Fabia 1.2L,Skoda,2011,155000,45863,Diesel
31,Maruti Suzuki A,Maruti,2011,189500,12500,Petrol
32,Chevrolet Beat LT,Chevrolet,2012,135000,45000,Diesel
33,Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol
34,Ford Figo Diesel,Ford,2014,195000,50000,Diesel
35,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
36,Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol
37,Nissan Micra XV,Nissan,2011,179000,41000,Petrol
38,Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol
39,Chevrolet Beat,Chevrolet,2015,150000,30000,Petrol
40,Tata Indica V2,Tata,2006,90000,20000,Petrol
41,Chevrolet Spark LT,Chevrolet,2010,85000,45000,Petrol
42,Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel
43,Fiat Punto Emotion,Fiat,2012,169500,37200,Diesel
